groupname,groupcode,median,qt25,qt75,n
Cereal and cereal products,1,441.6556874310913,276.50320854434744,631.9091556577868,1726
Starches,2,82.16189954921994,28.90031712837043,208.5090481272647,692
"pulses, dry",3,79.64329694331354,49.47156626198014,170.4550187071674,422
Vegetables,4,233.05826903321721,120.94700372843793,391.82209846899144,1813
Fruits,5,57.599999999999994,0,247.65327481353668,272
Beverages,6,5.94084,2.961086135959488,8.21686304609479,226
Sugar and sweets,7,30.798752369753295,20.99937618487665,46.605,608
Nuts and seeds,8,10.83540523061117,9.45119319658134,18.907578355500817,325
"Meat, meat products and fish",9,67.5517332249611,32.50105840122089,141.16535466983777,590
Eggs,10,39.15,16.04285042788615,85.644,43
Oil and fats,11,33.51786544557942,17.5664677402641,59.76105232311395,2061
Milk and milk products,12,144.0981844380404,112.97891412128239,273.7490821898824,365
Spices and other foods,13,6.625825144831839,3.1064929693229297,12.726640324396035,2164
,NA,0.1871909120454503,0.1454029722550975,0.33228558964079336,62
