itemname,median,qt25,qt75,n,per
Maize (flour),143.9,93.2,249.2,307,88.0
Fresh milk,140.4,63.6,286.7,195,55.9
Bottled beer,120.0,42.0,160.6,5,1.4
Rice (husked),87.7,57.4,131.5,225,64.5
Pork including sausages and bacon,79.7,45.4,114.0,2,0.6
"Onions, tomatoes, carrots and green pepper, other viungo",77.9,41.1,106.8,29,8.3
Local brews,77.0,45.0,164.9,18,5.2
Irish potatoes,73.2,35.2,143.6,147,42.1
Cassava dry/flour,65.3,34.7,87.3,18,5.2
"Cooking bananas, plantains",62.2,37.5,109.6,177,50.7
Chicken and other poultry,61.8,33.8,97.4,4,1.1
"Buns, cakes and biscuits",57.4,37.3,520.4,3,0.9
"Peas, beans, lentils and other pulses",56.0,32.3,73.9,20,5.7
Yams/cocoyams,54.5,29.9,93.0,27,7.7
"Bottled/canned soft drinks (soda, juice, water)",54.1,35.4,73.3,82,23.5
"Milk products (like cream, cheese, yoghurt etc)",53.5,32.0,93.4,122,35.0
Millet and sorghum (flour),52.5,26.6,91.6,32,9.2
Bread,49.5,25.5,88.3,140,40.1
Sugarcane,46.7,20.1,99.3,51,14.6
"Maize (green, cob)",46.4,19.9,77.0,44,12.6
Other poultry,46.1,33.9,94.2,3,0.9
Ripe bananas,45.9,24.2,74.9,164,47.0
Maize (grain),44.3,29.2,92.3,122,35.0
Tomatoes,43.9,23.1,71.3,287,82.2
Wheat flour,43.5,25.8,67.1,72,20.6
Sweet potatoes,42.3,33.2,96.8,57,16.3
Mangoes,41.7,22.5,72.7,68,19.5
Wine and spirits,41.6,41.6,41.6,1,0.3
"Other beans, lentils, and pulses",40.6,26.2,75.7,186,53.3
Cassava fresh,38.9,25.8,72.1,54,15.5
"Mangoes, avocadoes and other fruits",38.0,23.8,83.7,13,3.7
"Citrus fruits (oranges, lemon, tangerines, etc.)",36.8,25.4,54.5,10,2.9
Beef (including minced sausage),36.5,22.2,63.6,151,43.3
Chicken,36.1,21.2,50.3,40,11.5
Orange/tangerine,36.1,19.5,62.6,106,30.4
Cabbage,36.0,18.4,67.3,74,21.2
Green beans,35.7,19.7,54.3,41,11.7
Sugar,35.0,24.5,51.4,277,79.4
"Canned, dried, and wild vegetables",34.8,17.9,43.7,3,0.9
Other green vegetable,32.1,15.1,72.9,228,65.3
Beef including minced sausage,32.0,23.5,57.8,14,4.0
Avocado,31.8,16.9,49.9,127,36.4
Pork (including sausages and bacon),30.1,23.4,73.6,22,6.3
Goat meat,29.7,16.7,45.2,42,12.0
Other fruits,29.6,26.8,43.7,4,1.1
Buns,27.8,17.5,42.1,117,33.5
Other cereal products,27.3,22.1,39.9,4,1.1
"Spinach, cabbage and other green vegetables",27.1,14.8,79.4,26,7.4
Chiness/spinach,26.5,13.0,41.8,91,26.1
Cooking oil,25.2,15.4,37.5,299,85.7
Other citrus fruits,23.8,23.8,23.8,1,0.3
"Macaroni, spaghetti",23.8,16.0,34.2,43,12.3
Millet and sorghum (grain),20.8,20.7,26.8,3,0.9
"Honey, syrups, jams, marmalade, jellies, canned fruits",20.1,10.3,44.9,21,6.0
"Carrots and green pepper, other viungo",19.9,10.6,38.8,237,67.9
Coconuts (mature/immature),19.6,9.0,36.5,54,15.5
Peas,18.7,13.2,26.0,30,8.6
Other starches,17.8,17.8,17.8,1,0.3
Other fresh fish and seafood,16.6,11.1,35.7,22,6.3
Groundnuts in shell/shelled,15.9,11.7,28.8,47,13.5
Onions,15.4,9.4,28.1,296,84.8
Dried/salted/canned fish and seafood (incl. Dagaa),15.3,9.1,30.9,159,45.6
"Canned, dried and wild vegetables",13.9,12.2,15.7,2,0.6
Tilapia (fresh),13.1,13.1,13.1,1,0.3
Dagaa (fresh),12.5,6.0,20.0,86,24.6
Eggs,11.7,6.1,22.0,78,22.3
Other spices,11.5,4.8,22.5,50,14.3
"Butter, margarine, ghee and other fat products",10.9,6.5,20.5,11,3.2
Canned milk/milk powder,9.8,9.8,9.8,1,0.3
Lemon/lime,9.6,5.6,19.3,99,28.4
Packaged/canned fish,9.5,9.5,9.5,1,0.3
Salt,7.6,5.4,11.3,314,90.0
Fresh fish and seafood (including dagaa),6.6,4.1,8.0,8,2.3
Coffee and cocoa,5.6,3.9,19.1,9,2.6
Cakes and biscuits,3.2,2.5,10.5,16,4.6
Tea dry,1.1,0.8,1.9,211,60.5
Sweets,1.1,0.3,1.5,13,3.7
